22.11.2022г. 16:54;  Обнаружена ошибка ввода данных! Ошибка:(2+3j)+(2+3ш)
22.11.2022г. 16:57;  Обнаружена ошибка ввода данных! Ошибка:(2+3j)+(2+3ш)
22.11.2022г. 16:57; Пример: (2+3j)+(2+3j) Ответ:  (4+6j)
